url,name,sku,brand,gtin13,description,product_id,availability,currency,price,avg_rating,reviews_count,uniq_id,scraped_at
https://www.petsmart.com/reptile/habitats-and-decor/habitat-decor/zoo-med-mixed-fancy-hermit-crab-shells-38014.html,Zoo Med Mixed Fancy Hermit Crab Shells,5255515,Zoo Med,0097612009408,Zoo Med Mixed Fancy Hermit Crab Shells,5255515,OutOfStock,USD,3.99,1.5,2,4069ae62-75ba-518f-916f-07f15f1c00fb,30/07/2022 12:09:20
https://www.petsmart.com/fish/decor-gravel-and-substrate/gravel-sand-and-stones/aqua-natural-aquarium-gravel---midnight-pearl-70462.html,Aqua Natural Aquarium Gravel - Midnight Pearl,5325124,Aqua Natural,9353482000770,Aqua Natural Aquarium Gravel - Midnight Pearl,5325124,InStock,USD,24.99,5.0,1,5d2bc2ba-70c2-51f0-a403-c4861e73f11d,30/07/2022 12:09:21
https://www.petsmart.com/cat/food-and-treats/wet-food/purina-pro-plan-focus--adult-wet-cat-food---grain-free-no-artificial-colors-3-oz-58012.html,"Purina Pro Plan Focus  Adult Wet Cat Food - Grain Free, No Artificial Colors, 3 Oz",5299097,Purina Pro Plan,0038100186249,"Purina Pro Plan Focus  Adult Wet Cat Food - Grain Free, No Artificial Colors, 3 Oz",5299097,InStock,USD,1.54,4.7179,39,f501f311-b965-5295-9379-1875f5e28b7b,30/07/2022 12:09:21
https://www.petsmart.com/cat/collars-harnesses-and-leashes/collars/whisker-city-camo-easy-release-kitten-and-cat-collar-65572.html,Whisker City&reg; Camo Easy Release Kitten &amp; Cat Collar,5312631,Whisker City,0737257947979,Whisker City&reg; Camo Easy Release Kitten &amp; Cat Collar,5312631,InStock,USD,9.99,3.25,4,f4e289ad-c992-56c1-9bcf-52fd8dbc9997,30/07/2022 12:09:21
https://www.petsmart.com/fish/decor-gravel-and-substrate/live-plants/moneywort-15146.html,Moneywort,4033115,PetSmart,0400403311596,Moneywort,4033115,OutOfStock,USD,4.29,3.5385,13,0e252f41-2356-5d06-b763-f3ca1eeb62a7,30/07/2022 12:09:22
https://www.petsmart.com/dog/collars-harnesses-and-leashes/collars/top-paw-blue-tie-dye-adjustable-dog-collar-62130.html,Top Paw&reg; Blue Tie Dye Adjustable Dog Collar,5307605,Top Paw,0737257927919,Top Paw&reg; Blue Tie Dye Adjustable Dog Collar,5307605,InStock,USD,16.99,3.0,2,0e91f7c6-ae14-53c6-885f-4aa1b5948c6f,30/07/2022 12:09:22
https://www.petsmart.com/fish/filters-and-pumps/filter-media/fluval-clearmax-phosphate-remover-17056.html,Fluval&reg; Clearmax Phosphate Remover,5011541,Fluval,0015561113489,Fluval&reg; Clearmax Phosphate Remover,5011541,InStock,USD,5.99,3.2,10,32fa3f61-a5d4-5c44-9258-dac708b5e367,30/07/2022 12:09:23
https://www.petsmart.com/dog/flea-and-tick/spot-ons/petarmor-plus-for-dogs-89-132-lbs-flea-and-tick-spot-on-treatment-45018.html,PetArmor&reg; Plus for Dogs 89-132 lbs Flea &amp; Tick Spot On Treatment,5271986,PetArmor,0073091025689,PetArmor&reg; Plus for Dogs 89-132 lbs Flea &amp; Tick Spot On Treatment,5271986,InStock,USD,28.99,4.1055,635,8ae5a1fa-c944-53d3-b699-be53e377e0b3,30/07/2022 12:09:24
https://www.petsmart.com/dog/treats/dental-treats/ark-naturals-extreme-clean-dental-chews---large-69165.html,Ark Naturals&reg; Extreme Clean Dental Chews - Large,5322604,Ark Naturals,0632634470036,Ark Naturals&reg; Extreme Clean Dental Chews - Large,5322604,InStock,USD,21.99,4.6029,68,00d30471-047a-5e49-b981-e40dbb9fd5b3,30/07/2022 12:09:24
https://www.petsmart.com/reptile/feeders-and-food-storage/feeding-accessories/thrive-beardie-ball-59163.html,Thrive Beardie Ball,5300292,Thrive,0737257889279,Thrive Beardie Ball,5300292,InStock,USD,4.99,4.2273,22,191ada34-5b6c-5b59-b242-87e20755d264,30/07/2022 12:09:24
